train | 1:7.02863 | 2:5.02401 | 3:5.10598
train | 1:7.12522 | 2:4.81145 | 3:4.93354
train | 1:6.80450 | 2:4.71969 | 3:4.82344
train | 1:6.98899 | 2:4.74584 | 3:4.90472
train | 1:7.12001 | 2:4.90122 | 3:4.96617
train | 1:7.12034 | 2:4.92648 | 3:5.06790
train | 1:7.22168 | 2:4.93015 | 3:5.07825
train | 1:7.25642 | 2:4.93760 | 3:5.06298
train | 1:7.05726 | 2:4.84238 | 3:4.99419
train | 1:7.21355 | 2:4.85214 | 3:4.99101
train | 1:7.21385 | 2:4.98883 | 3:5.12905
train | 1:6.95041 | 2:4.65009 | 3:4.79185
train | 1:6.98666 | 2:4.93231 | 3:5.04459
train | 1:7.18322 | 2:4.77645 | 3:4.90954
train | 1:6.93685 | 2:4.58611 | 3:4.67126
train | 1:7.31920 | 2:5.21301 | 3:5.31865
train | 1:6.86310 | 2:4.68126 | 3:4.79726
train | 1:7.17181 | 2:4.83620 | 3:4.96076
train | 1:6.96424 | 2:4.80528 | 3:4.99457
train | 1:7.37480 | 2:5.00708 | 3:5.12372
train | 1:6.98918 | 2:4.68232 | 3:4.85323
train | 1:6.87798 | 2:4.72822 | 3:4.82148
train | 1:7.08044 | 2:4.89054 | 3:5.02524
train | 1:7.15618 | 2:5.14752 | 3:5.23229
train | 1:7.03038 | 2:4.89203 | 3:5.04437
train | 1:6.82871 | 2:4.65571 | 3:4.77502
train | 1:7.15968 | 2:5.02171 | 3:5.18647
train | 1:6.98800 | 2:4.67171 | 3:4.79046
train | 1:6.89759 | 2:4.90569 | 3:5.04242
train | 1:7.20334 | 2:5.03672 | 3:5.13612
train | 1:6.96312 | 2:4.74300 | 3:4.92677
train | 1:6.94797 | 2:4.88488 | 3:4.99498
train | 1:7.05603 | 2:4.96646 | 3:5.12686
train | 1:6.82982 | 2:4.52904 | 3:4.63149
train | 1:6.90230 | 2:4.65795 | 3:4.76146
train | 1:7.05896 | 2:4.72425 | 3:4.84773
train | 1:6.92950 | 2:4.75331 | 3:4.89604
train | 1:6.84680 | 2:4.76486 | 3:4.87755
train | 1:6.99735 | 2:4.86854 | 3:4.98210
train | 1:7.11527 | 2:4.91079 | 3:5.03193
train | 1:6.92153 | 2:4.82606 | 3:4.97113
train | 1:6.94578 | 2:4.71869 | 3:4.87099
train | 1:6.91628 | 2:4.67748 | 3:4.78791
train | 1:7.02801 | 2:4.65273 | 3:4.77295
train | 1:7.06386 | 2:5.03475 | 3:5.08403
train | 1:6.85355 | 2:4.73740 | 3:4.83681
train | 1:6.84495 | 2:4.68650 | 3:4.79905
train | 1:6.84564 | 2:4.67756 | 3:4.78098
train | 1:7.13795 | 2:4.86038 | 3:5.00240
train | 1:6.98830 | 2:4.73382 | 3:4.85315
train | 1:6.93147 | 2:4.60466 | 3:4.70416
train | 1:6.96141 | 2:4.87619 | 3:4.99685
train | 1:6.81990 | 2:4.49884 | 3:4.66576
train | 1:6.84672 | 2:4.63709 | 3:4.78172
train | 1:7.00180 | 2:4.82440 | 3:4.99182
train | 1:6.70044 | 2:4.71052 | 3:4.85593
