train | 1:4.84109 | 2:3.75821 | 3:4.05709
train | 1:4.37612 | 2:3.17242 | 3:3.44141
train | 1:4.62197 | 2:3.50444 | 3:3.79610
train | 1:4.35734 | 2:3.16679 | 3:3.49171
train | 1:4.63447 | 2:3.47871 | 3:3.79916
train | 1:4.68786 | 2:3.62466 | 3:3.97718
train | 1:4.64621 | 2:3.59863 | 3:3.91448
train | 1:4.41517 | 2:3.43552 | 3:3.76922
train | 1:4.26606 | 2:3.22329 | 3:3.54693
train | 1:4.27002 | 2:3.07527 | 3:3.31715
train | 1:4.43460 | 2:3.38717 | 3:3.67771
train | 1:4.47903 | 2:3.38170 | 3:3.66587
train | 1:4.41233 | 2:3.31723 | 3:3.62049
train | 1:4.44665 | 2:3.41978 | 3:3.69102
train | 1:4.43891 | 2:3.42876 | 3:3.78501
train | 1:4.48342 | 2:3.38201 | 3:3.67906
train | 1:4.22986 | 2:3.11842 | 3:3.41319
train | 1:4.34513 | 2:3.28851 | 3:3.58556
train | 1:4.48888 | 2:3.50980 | 3:3.84607
train | 1:4.48414 | 2:3.47973 | 3:3.77985
train | 1:4.36867 | 2:3.33687 | 3:3.65329
train | 1:4.21408 | 2:3.32826 | 3:3.65229
train | 1:4.42827 | 2:3.50181 | 3:3.77306
train | 1:4.38758 | 2:3.38500 | 3:3.63939
train | 1:4.29728 | 2:3.41781 | 3:3.76319
train | 1:4.31844 | 2:3.38840 | 3:3.71478
train | 1:4.21025 | 2:3.30411 | 3:3.68107
train | 1:4.42245 | 2:3.38362 | 3:3.63281
train | 1:4.29180 | 2:3.39770 | 3:3.66722
train | 1:4.19081 | 2:3.27284 | 3:3.59712
train | 1:4.40934 | 2:3.49935 | 3:3.84878
train | 1:4.11355 | 2:3.00727 | 3:3.28799
train | 1:4.24643 | 2:3.27698 | 3:3.55824
train | 1:4.32921 | 2:3.42916 | 3:3.74795
train | 1:4.15264 | 2:3.27588 | 3:3.56136
train | 1:4.37327 | 2:3.44919 | 3:3.73759
train | 1:4.43417 | 2:3.50279 | 3:3.77726
train | 1:4.22946 | 2:3.27947 | 3:3.52903
train | 1:4.33344 | 2:3.63230 | 3:3.95539
val | 1:4.44056 | 2:3.66015 | 3:4.05359
train | 1:4.30553 | 2:3.58572 | 3:3.91459
train | 1:4.08998 | 2:3.20534 | 3:3.47418
train | 1:4.34316 | 2:3.63604 | 3:3.93227
train | 1:4.24004 | 2:3.49432 | 3:3.82748
train | 1:4.20469 | 2:3.46923 | 3:3.77085
train | 1:4.16515 | 2:3.27978 | 3:3.54912
train | 1:4.08068 | 2:3.18507 | 3:3.45082
train | 1:4.06164 | 2:3.22023 | 3:3.49964
train | 1:4.01337 | 2:3.15705 | 3:3.45571
train | 1:4.26155 | 2:3.59921 | 3:3.90389
train | 1:4.09866 | 2:3.22467 | 3:3.51674
train | 1:3.95725 | 2:3.14661 | 3:3.38133
train | 1:4.15826 | 2:3.42205 | 3:3.77189
train | 1:4.07106 | 2:3.18568 | 3:3.47645
train | 1:4.11206 | 2:3.33133 | 3:3.57661
train | 1:4.19825 | 2:3.46425 | 3:3.77021
train | 1:4.19325 | 2:3.44146 | 3:3.75651
train | 1:4.24960 | 2:3.55669 | 3:3.83513
train | 1:4.13579 | 2:3.33293 | 3:3.63688
train | 1:4.02819 | 2:3.22053 | 3:3.48532
train | 1:4.02919 | 2:3.26358 | 3:3.53064
train | 1:4.07288 | 2:3.33207 | 3:3.62945
train | 1:4.32701 | 2:3.51759 | 3:3.74052
train | 1:3.89278 | 2:3.18180 | 3:3.47111
train | 1:4.20920 | 2:3.48759 | 3:3.74253
train | 1:4.19965 | 2:3.51238 | 3:3.79502
train | 1:4.22325 | 2:3.50363 | 3:3.80126
train | 1:4.07129 | 2:3.42235 | 3:3.71492
train | 1:4.06173 | 2:3.26281 | 3:3.55679
train | 1:4.07146 | 2:3.49349 | 3:3.80918
train | 1:4.07846 | 2:3.34548 | 3:3.62576
train | 1:4.14069 | 2:3.47607 | 3:3.75016
train | 1:4.00042 | 2:3.23457 | 3:3.47748
train | 1:4.12808 | 2:3.38185 | 3:3.61673
train | 1:3.87128 | 2:3.20082 | 3:3.49942
train | 1:3.84083 | 2:3.07269 | 3:3.35763
train | 1:4.06169 | 2:3.40575 | 3:3.68283
train | 1:3.94779 | 2:3.25839 | 3:3.53392
train | 1:3.96284 | 2:3.28947 | 3:3.58716
train | 1:4.03588 | 2:3.47349 | 3:3.80088
train | 1:3.82889 | 2:3.12806 | 3:3.41308
train | 1:4.08052 | 2:3.48191 | 3:3.82731
train | 1:3.85830 | 2:3.28008 | 3:3.61215
train | 1:3.84190 | 2:3.26886 | 3:3.58377
train | 1:3.76898 | 2:3.27947 | 3:3.65957
train | 1:4.05047 | 2:3.45990 | 3:3.75316
train | 1:3.87653 | 2:3.23013 | 3:3.53930
train | 1:4.02071 | 2:3.35806 | 3:3.65254
train | 1:3.81184 | 2:3.15220 | 3:3.41395
train | 1:4.11318 | 2:3.51432 | 3:3.76208
train | 1:3.86371 | 2:3.22538 | 3:3.49145
train | 1:3.92006 | 2:3.31473 | 3:3.55104
train | 1:3.99563 | 2:3.32990 | 3:3.60555
train | 1:3.82753 | 2:3.19765 | 3:3.44750
train | 1:3.96720 | 2:3.48613 | 3:3.73553
train | 1:3.98813 | 2:3.40188 | 3:3.62742
train | 1:3.89354 | 2:3.42384 | 3:3.69724
