0 val 1:10.98923397064209 | 2:9.885680198669434
307 train 1:-6.026516914367676 | 2:-6.345037460327148
308 train 1:-6.186507225036621 | 2:-6.43646240234375
309 train 1:-5.992007255554199 | 2:-6.284996032714844
310 train 1:-6.13808012008667 | 2:-6.40718412399292
311 train 1:-6.149646759033203 | 2:-6.424182891845703
312 train 1:-6.1794281005859375 | 2:-6.461782455444336
313 train 1:-6.067359924316406 | 2:-6.368387222290039
314 train 1:-6.121468544006348 | 2:-6.423327445983887
315 train 1:-6.033576011657715 | 2:-6.315028190612793
316 train 1:-5.858055114746094 | 2:-6.178764343261719
317 train 1:-6.167453765869141 | 2:-6.417111396789551
318 train 1:-5.963150501251221 | 2:-6.233922958374023
319 train 1:-6.041874885559082 | 2:-6.332615852355957
320 train 1:-5.9934306144714355 | 2:-6.293030738830566
321 train 1:-5.788280487060547 | 2:-6.077744483947754
322 train 1:-6.108884334564209 | 2:-6.287027359008789
323 train 1:-5.9776082038879395 | 2:-6.294318675994873
324 train 1:-6.144208908081055 | 2:-6.389151573181152
325 train 1:-6.184749603271484 | 2:-6.426114082336426
326 train 1:-6.0638322830200195 | 2:-6.36251974105835
327 train 1:-6.123232364654541 | 2:-6.368755340576172
328 train 1:-6.0911407470703125 | 2:-6.344120979309082
329 train 1:-6.119759559631348 | 2:-6.403514862060547
330 train 1:-6.295517444610596 | 2:-6.511414527893066
331 train 1:-5.950263023376465 | 2:-6.198441982269287
332 train 1:-6.1471405029296875 | 2:-6.385444641113281
333 train 1:-6.236649036407471 | 2:-6.493349075317383
334 train 1:-6.095718860626221 | 2:-6.358006477355957
335 train 1:-6.306809902191162 | 2:-6.5363664627075195
336 train 1:-6.133195877075195 | 2:-6.412316799163818
337 train 1:-5.96138858795166 | 2:-6.271042823791504
338 train 1:-6.002541542053223 | 2:-6.320896148681641
339 train 1:-6.0098466873168945 | 2:-6.289191246032715
340 train 1:-6.014317035675049 | 2:-6.326689720153809
341 train 1:-6.265228748321533 | 2:-6.521384239196777
342 train 1:-6.10199499130249 | 2:-6.396484375
343 train 1:-6.02192497253418 | 2:-6.272485733032227
344 train 1:-6.20567512512207 | 2:-6.4707865715026855
345 train 1:-6.296841621398926 | 2:-6.535355567932129
346 train 1:-6.007984638214111 | 2:-6.3031086921691895
347 train 1:-6.145759582519531 | 2:-6.394043445587158
348 train 1:-5.93599271774292 | 2:-6.253752708435059
349 train 1:-6.332210063934326 | 2:-6.550111770629883
