1=-7.642143249511719|2=-4.584933280944824|3=-2.7532496452331543
1=-7.5270280838012695|2=-4.517568588256836|3=-2.710793972015381
1=-7.528197288513184|2=-4.522242546081543|3=-2.713550090789795
1=-7.380539894104004|2=-4.429703712463379|3=-2.6587913036346436
1=-7.647488594055176|2=-4.592235565185547|3=-2.7556633949279785
1=-7.5364089012146|2=-4.522648334503174|3=-2.715372085571289
1=-7.390190124511719|2=-4.434683799743652|3=-2.664133310317993
1=-7.365118026733398|2=-4.422867774963379|3=-2.654189109802246
1=-7.39395809173584|2=-4.43644380569458|3=-2.6647701263427734
1=-7.4760894775390625|2=-4.491842269897461|3=-2.6953625679016113
1=-7.586034774780273|2=-4.556497573852539|3=-2.7343549728393555
1=-7.5889081954956055|2=-4.5550055503845215|3=-2.733950614929199
1=-7.652619361877441|2=-4.596828460693359|3=-2.7586112022399902
1=-7.51592493057251|2=-4.515183448791504|3=-2.7084312438964844
1=-7.50639533996582|2=-4.506655693054199|3=-2.704357147216797
1=-7.6467132568359375|2=-4.590965747833252|3=-2.755711078643799
1=-7.411633491516113|2=-4.451475143432617|3=-2.6711649894714355
1=-7.481804847717285|2=-4.49449348449707|3=-2.6957998275756836
1=-7.362064838409424|2=-4.419119834899902|3=-2.651336193084717
1=-7.73532772064209|2=-4.645205974578857|3=-2.7874755859375
1=-7.470541477203369|2=-4.486215114593506|3=-2.6928787231445312
1=-7.386646270751953|2=-4.436005592346191|3=-2.662227153778076
1=-7.4898681640625|2=-4.498196125030518|3=-2.6996359825134277
1=-7.67390775680542|2=-4.609488487243652|3=-2.764979362487793
1=-7.572848796844482|2=-4.5485968589782715|3=-2.7300233840942383
1=-7.33735990524292|2=-4.40640926361084|3=-2.6464500427246094
1=-7.438011169433594|2=-4.464954376220703|3=-2.6800107955932617
1=-7.566944122314453|2=-4.545631408691406|3=-2.7276558876037598
1=-7.4814677238464355|2=-4.492179870605469|3=-2.6970038414001465
1=-7.546703338623047|2=-4.532074928283691|3=-2.719627857208252
1=-7.476325988769531|2=-4.487139701843262|3=-2.6929006576538086
1=-7.757055759429932|2=-4.655605316162109|3=-2.794933795928955
1=-7.546522617340088|2=-4.532266139984131|3=-2.7199532985687256
1=-7.619040012359619|2=-4.575582027435303|3=-2.746945858001709
1=-7.453125953674316|2=-4.475801467895508|3=-2.6870994567871094
1=-7.4343719482421875|2=-4.463579177856445|3=-2.679576873779297
1=-7.667300701141357|2=-4.603772163391113|3=-2.763518810272217
1=-7.56146240234375|2=-4.5400896072387695|3=-2.7243905067443848
1=-7.545494079589844|2=-4.532801628112793|3=-2.719956636428833
1=-7.545169830322266|2=-4.531691551208496|3=-2.721497058868408
1=-7.382555961608887|2=-4.432275772094727|3=-2.6578197479248047
1=-7.621051788330078|2=-4.57554292678833|3=-2.744232654571533
1=-7.683311462402344|2=-4.610212326049805|3=-2.766855001449585
1=-7.544340133666992|2=-4.530823707580566|3=-2.7188684940338135
1=-7.830667972564697|2=-4.700511455535889|3=-2.8224048614501953
1=-7.868940353393555|2=-4.7289862632751465|3=-2.835601806640625
1=-7.412788391113281|2=-4.453681945800781|3=-2.6738600730895996
1=-7.412954330444336|2=-4.447487831115723|3=-2.6711268424987793
1=-7.585155010223389|2=-4.55611515045166|3=-2.73288631439209
1=-7.546814918518066|2=-4.530456066131592|3=-2.720233917236328
1=-7.462209701538086|2=-4.4790167808532715|3=-2.688338041305542
1=-7.57551908493042|2=-4.549696445465088|3=-2.730193853378296
1=-7.663221836090088|2=-4.60473108291626|3=-2.7626452445983887
1=-7.346702575683594|2=-4.413482666015625|3=-2.6501259803771973
1=-7.487699508666992|2=-4.498784065246582|3=-2.700566291809082
1=-7.494080543518066|2=-4.502974987030029|3=-2.7028322219848633
1=-7.704188346862793|2=-4.626721382141113|3=-2.7775192260742188
1=-7.526696681976318|2=-4.519944667816162|3=-2.7129158973693848
1=-7.464298248291016|2=-4.482217311859131|3=-2.6901278495788574
1=-7.5544328689575195|2=-4.536017894744873|3=-2.722714900970459
1=-7.4103240966796875|2=-4.448151588439941|3=-2.668799877166748
1=-7.470646858215332|2=-4.484095096588135|3=-2.6901445388793945
1=-7.411523818969727|2=-4.453603267669678|3=-2.6731700897216797
1=-7.5928521156311035|2=-4.558133125305176|3=-2.7354094982147217
1=-7.374444007873535|2=-4.4276018142700195|3=-2.658459186553955
1=-7.361064434051514|2=-4.4157819747924805|3=-2.651979446411133
1=-7.60460901260376|2=-4.565715789794922|3=-2.7386014461517334
1=-7.4108734130859375|2=-4.451288223266602|3=-2.6721272468566895
1=-7.575289726257324|2=-4.546355724334717|3=-2.729050636291504
1=-7.413894176483154|2=-4.448885917663574|3=-2.672576427459717
